year,cpi_value
1960,0.063182597888167
1961,-0.180407721631565
1962,0.10844026784809
1963,3.10525365608344
1964,-0.402731571003658
1965,-0.10548523224379
1966,0.967969025261369
1967,4.57556214033291
1968,-0.158346528794567
1969,-0.40901502529407
1970,1.84393596556387
1971,1.61303596395808
1972,3.23155422354874
1973,10.5601757413101
1974,17.3289809824411
1975,4.48772226915906
1976,2.63371150730571
1977,4.78822401445964
1978,4.86006458554252
1979,3.65446799796414
1980,6.6749195345051
1981,9.70000000000015
1982,5.8189000297783
1983,3.70423546319373
1984,3.89727260149768
1985,0.346458791259884
1986,0.737002855391939
1987,0.290007909438412
1988,2.55651945320742
1989,2.81320089714805
1990,2.61780104712051
1991,4.358333333333
1992,4.76722829992821
1993,3.53658536585389
1994,3.72497055359284
1995,3.45057509584895
1996,3.48855945858916
1997,2.66251459711946
1998,5.27034200348766
1999,2.74456130240604
2000,1.53474023697699
2001,1.41678473206098
2002,1.80787246281536
2003,1.08967632577286
2004,1.42127115937402
2005,2.97507092684449
2006,3.60923564224389
2007,2.02735317779568
2008,5.44078221100769
2009,0.583308405623702
2010,1.62285235577035
2011,3.1744709215131
2012,1.66357102479206
2013,2.10501231233612
2014,3.14299050879095
2015,2.10438980238359
2016,2.09056659525742
2017,3.87120115774237
2018,0.884709160571235
2019,0.662891865764326
2020,-1.1387021539305
2021,2.47710241465447
2022,3.37869862549928
2023,2.48886560125754
2024,1.834100204499
